id|text|experiencer|emotion|cause|selected
8463D|I felt ... that the neighbours in the small village that I lived in knew that my ex husband was messing around on the internet chatting up other women before I did.|WRITER|anger|the neighbours in the small village that I lived in knew that my ex husband was messing around on the internet chatting up other women before I did|True
8463D|I felt ... that the neighbours in the small village that I lived in knew that my ex husband was messing around on the internet chatting up other women before I did.|my ex husband|joy|my ex husband was messing around on the internet chatting up other women|True
8232A|I felt ... when I was stopped for driving over the limit.|WRITER|anger|I was stopped for driving over the limit|True
8232D|I felt ... when I was stopped for driving over the limit.|WRITER|fear|I was stopped for driving over the limit|True
2304A|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|the person in charge|anger|it happened a fight between the person in charge and me|True
2304A|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|WRITER|anger|it happened a fight between the person in charge and me|True
2304B|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|WRITER|anger|in my work it happened a fight between the person in charge and me|True
2304B|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|the person in charge|anger|in my work it happened a fight between the person in charge and me|True
2304C|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|WRITER|anger|Once in my work it happened a fight between the person in charge and me|True
2304C|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|the person|anger|Once in my work it happened a fight between the person in charge and me|True
2304D|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|the person in charge|anger|a fight between the person in charge and me|True
2304D|Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.|WRITER|anger|a fight between the person in charge and me|True
8148A|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|people|fear|car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road|True
8148A|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|WRITER|fear|car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road|True
8148B|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|people|fear|car drivers frequently fail to see the stop light at a pedestrian crossing|True
8148B|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|WRITER|anger|car drivers frequently fail to see the stop light at a pedestrian crossing|True
8148C|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|WRITER|anger|car drivers frequently fail to see the stop light|True
8148C|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|people|fear|people are starting to walk across the road|True
8148D|I feel...because car drivers frequently fail to see the stop light at a pedestrian crossing near to my home and carry on driving even though people are starting to walk across the road.|WRITER|anger|car drivers frequently fail to see the stop light at a pedestrian crossing near to my home|True
8202A|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|WRITER|joy|my children open their Christmas presents|True
8202A|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|my children|joy|my children open their Christmas presents|True
8202B|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|my children|joy|I watched my children open their Christmas presents|True
8202B|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|WRITER|joy|I watched my children open their Christmas presents|True
8202C|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|WRITER|joy|I watched my children open their Christmas presents|True
8202C|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|my children|joy|my children open their Christmas presents|True
8202D|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|WRITER|joy|I watched my children open their Christmas presents and felt such joy at them being so happy and content|True
8202D|I felt ... when I watched my children open their Christmas presents and felt such joy at them being so happy and content.|my children|joy|I watched my children open their Christmas presents and felt such joy at them being so happy and content|True
7771A|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|immigrants from Mexico|sadness|how Trump is dealing with immigrants from Mexico|True
7771A|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|WRITER|sadness|how Trump is dealing with immigrants from Mexico|True
7771A|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|Trump|anger|how Trump is dealing with immigrants from Mexico|True
7771B|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|WRITER|anger|I saw on tv how Trump is dealing with immigrants from Mexico|True
7771C|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|immigrants from Mexico.|anger|I saw on tv how Trump is dealing with immigrants from Mexico.|True
7771C|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|WRITER|anger|I saw on tv how Trump is dealing with immigrants from Mexico.|True
7771D|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|immigrants from Mexico|fear|I saw on tv how Trump is dealing with immigrants from Mexico|True
7771D|I felt ... when I saw on tv how Trump is dealing with immigrants from Mexico.|WRITER|anger|I saw on tv how Trump is dealing with immigrants from Mexico|True
8184A|I felt...because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.|my other daughter|fear|my youngest daughter ran off when my other daughter was using a public toilet|True
8184A|I felt...because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.|WRITER|fear|my youngest daughter ran off when my other daughter was using a public toilet|True
8184B|I felt...because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.|WRITER|fear|because my youngest daughter ran off when my other daughter was using a public toilet|True
8184C|I felt...because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.|WRITER|fear|my youngest daughter ran off|True
8184D|I felt...because my youngest daughter ran off when my other daughter was using a public toilet. I didn't know whether to run after her or stay with my other daughter and was very scared.|WRITER|fear|my youngest daughter ran off when my other daughter was using a public toilet|True
8326A|I felt...working in the street seeing faeces of dogs. The owners should take care of them but are being so lazy and neglected, that is terrible.|WRITER|disgust|seeing faeces of dogs|True
8326B|I felt...working in the street seeing faeces of dogs. The owners should take care of them but are being so lazy and neglected, that is terrible.|WRITER|disgust|working in the street seeing faeces of dogs|True
8326C|I felt...working in the street seeing faeces of dogs. The owners should take care of them but are being so lazy and neglected, that is terrible.|WRITER|anger|working in the street seeing faeces of dogs.|True
8326D|I felt...working in the street seeing faeces of dogs. The owners should take care of them but are being so lazy and neglected, that is terrible.|WRITER|anger|working in the street seeing faeces of dogs|True
8413C|I felt ... when I was younger and I was caught cheating on a test in school. The teacher had seen me copying off someone else and gave me a warning about this.|The teacher|anger|The teacher had seen me copying off someone else|True
8413D|I felt ... when I was younger and I was caught cheating on a test in school. The teacher had seen me copying off someone else and gave me a warning about this.|The teacher|anger|The teacher had seen me copying off someone else and gave me a warning about this|True
3192A|Finding that a girlfriend of mine was a prostitute and had been seeing many others during our relationship.|WRITER|disgust|Finding that a girlfriend of mine was a prostitute and had been seeing many others during our relationship|True
3192C|Finding that a girlfriend of mine was a prostitute and had been seeing many others during our relationship.|WRITER|anger|Finding that a girlfriend of mine was a prostitute and had been seeing many others during our relationship|True
8233A|I felt ... when my daughter got a really good job enabling her to do what she loves best.|my daughter|joy|my daughter got a really good job|True
8233A|I felt ... when my daughter got a really good job enabling her to do what she loves best.|WRITER|joy|my daughter got a really good job|True
8233B|I felt ... when my daughter got a really good job enabling her to do what she loves best.|WRITER|joy|my daughter got a really good job|True
8233B|I felt ... when my daughter got a really good job enabling her to do what she loves best.|my daughter|joy|my daughter got a really good job|True
8233C|I felt ... when my daughter got a really good job enabling her to do what she loves best.|my daughter|joy|my daughter got a really good job|True
8233C|I felt ... when my daughter got a really good job enabling her to do what she loves best.|WRITER|joy|my daughter got a really good job|True
8233D|I felt ... when my daughter got a really good job enabling her to do what she loves best.|my daughter|joy|my daughter got a really good job|True
8233D|I felt ... when my daughter got a really good job enabling her to do what she loves best.|WRITER|joy|my daughter got a really good job|True
7882A|I felt ... when I had to remove a large spider from the house.|WRITER|disgust|I had to remove a large spider|True
7882B|I felt ... when I had to remove a large spider from the house.|I|fear|I had to remove a large spider from the house|True
7882C|I felt ... when I had to remove a large spider from the house.|WRITER|fear|I had to remove a large spider from the house.|True
7882D|I felt ... when I had to remove a large spider from the house.|WRITER|disgust|I had to remove a large spider from the house|True
7785A|I felt ... when I unblocked a drain filled with raw sewage.|WRITER|disgust|I unblocked a drain filled with raw sewage|True
7785B|I felt ... when I unblocked a drain filled with raw sewage.|I|disgust|I unblocked a drain filled with raw sewage|True
7785C|I felt ... when I unblocked a drain filled with raw sewage.|WRITER|disgust|I unblocked a drain filled with raw sewage.|True
7785D|I felt ... when I unblocked a drain filled with raw sewage.|WRITER|disgust|I unblocked a drain filled with raw sewage|True
7495A|I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.|WRITER|sadness|I saw rabbits looking very miserable in rather small cages|True
7495B|I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.|WRITER|sadness|I saw rabbits looking very miserable in rather small cages in the city pet store|True
7495C|I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.|WRITER|sadness|I saw rabbits looking very miserable in rather small cages|True
7495D|I felt ... when I saw rabbits looking very miserable in rather small cages in the city pet store, although these doubtless met all the regularity requirements.|WRITER|sadness|I saw rabbits looking very miserable in rather small cages in the city pet store|True
8352A|I felt ... when I realized I'm 49 years old and not achieved anything useful in my life.|WRITER|sadness|I'm 49 years old and not achieved anything useful|True
8352C|I felt ... when I realized I'm 49 years old and not achieved anything useful in my life.|WRITER|sadness|I realized I'm 49 years old|True
8352D|I felt ... when I realized I'm 49 years old and not achieved anything useful in my life.|WRITER|sadness|I'm 49 years old and not achieved anything useful in my life|True
8046A|I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.|other people|anger|other people knew that I hadn't been seeing my ill brother as often as I could have been doing|True
8046A|I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.|my ill brother|sadness|I hadn't been seeing my ill brother as often as I could have been doing|True
8046C|I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.|my ill brother|sadness|I hadn't been seeing my ill brother|True
8046C|I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.|other people|sadness|I hadn't been seeing my ill brother|True
8046D|I felt ... because other people knew that I hadn't been seeing my ill brother as often as I could have been doing.|my ill brother|sadness|other people knew that I hadn't been seeing my ill brother as often as I could have been doing|True
7631A|I felt ... when I got married. I married later in life and it was something that I had always wanted and was the happiest day of my life.|WRITER|joy|I got married|True
7631B|I felt ... when I got married. I married later in life and it was something that I had always wanted and was the happiest day of my life.|I|joy|I got married|True
7631C|I felt ... when I got married. I married later in life and it was something that I had always wanted and was the happiest day of my life.|WRITER|joy|I got married.|True
7631D|I felt ... when I got married. I married later in life and it was something that I had always wanted and was the happiest day of my life.|WRITER|joy|I got married|True
7720C|I felt ... because I forgot a friend's birthday.|a friend|sadness|I forgot a friend's birthday|True
7976A|I felt...when my ex husband was hateful towards our children.|my ex husband|anger|my ex husband was hateful towards our children|True
7976A|I felt...when my ex husband was hateful towards our children.|WRITER|sadness|my ex husband was hateful towards our children|True
7976A|I felt...when my ex husband was hateful towards our children.|our children|sadness|my ex husband was hateful towards our children|True
7976B|I felt...when my ex husband was hateful towards our children.|our children|sadness|my ex husband was hateful towards our children|True
7976B|I felt...when my ex husband was hateful towards our children.|WRITER|sadness|my ex husband was hateful towards our children|True
7976C|I felt...when my ex husband was hateful towards our children.|our children|sadness|my ex husband was hateful towards our children.|True
7976C|I felt...when my ex husband was hateful towards our children.|my ex husband|anger|my ex husband was hateful towards our children.|True
7976C|I felt...when my ex husband was hateful towards our children.|WRITER|sadness|my ex husband was hateful towards our children.|True
7976D|I felt...when my ex husband was hateful towards our children.|WRITER|anger|my ex husband was hateful towards our children|True
7976D|I felt...when my ex husband was hateful towards our children.|my ex husband|anger|my ex husband was hateful towards our children|True
7976D|I felt...when my ex husband was hateful towards our children.|our children|sadness|my ex husband was hateful towards our children|True
7570A|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|WRITER|surprise|my autistic son finally got a girlfriend|True
7570A|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|my autistic son|joy|my autistic son finally got a girlfriend|True
7570A|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|a girlfriend|joy|my autistic son finally got a girlfriend|True
7570B|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|a girlfriend|joy|my autistic son finally got a girlfriend|True
7570B|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|we|joy|my autistic son finally got a girlfriend|True
7570B|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|my autistic son|joy|my autistic son finally got a girlfriend|True
7570C|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|we|joy|my autistic son finally got a girlfriend.|True
7570C|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|a girlfriend|joy|my autistic son finally got a girlfriend.|True
7570C|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|my autistic son|joy|my autistic son finally got a girlfriend.|True
7570D|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|WRITER|joy|my autistic son finally got a girlfriend|True
7570D|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|a girlfriend|joy|my autistic son finally got a girlfriend|True
7570D|I felt ... when my autistic son finally got a girlfriend. That we never thought would happen.|my autistic son|joy|my autistic son finally got a girlfriend|True
8420A|I felt shame when I let down a friend who was relying on me to do a job at his house.|a friend|sadness|I let down a friend who was relying on me to do a job|True
8420B|I felt shame when I let down a friend who was relying on me to do a job at his house.|a friend|anger|I let down a friend who was relying on me|True
8420C|I felt shame when I let down a friend who was relying on me to do a job at his house.|a friend|sadness|I let down a friend who was relying on me|True
8420D|I felt shame when I let down a friend who was relying on me to do a job at his house.|a friend|sadness|I let down a friend who was relying on me to do a job at his house|True
7846A|I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.|WRITER|fear|I had to go into hospital for an angiogram|True
7846B|I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.|I|fear|I had to go into hospital for an angiogram|True
7846C|I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.|WRITER|fear|I had to go into hospital for an angiogram.|True
7846D|I felt ... when I had to go into hospital for an angiogram. I was ... that something would go wrong and I would die. It was a horrible feeling.|WRITER|fear|I had to go into hospital for an angiogram|True
8253A|I felt ... when my grandmother died.|WRITER|sadness|my grandmother died|True
8253B|I felt ... when my grandmother died.|WRITER|sadness|my grandmother died|True
8253C|I felt ... when my grandmother died.|WRITER|sadness|my grandmother died.|True
8253D|I felt ... when my grandmother died.|WRITER|sadness|my grandmother died|True
29542C|When I stayed up all night taking care of my daughter because she was teething, and comforted her. |my daughter|fear|I stayed up all night taking care of my daughter|True
29542D|When I stayed up all night taking care of my daughter because she was teething, and comforted her. |my daughter|fear|I stayed up all night taking care of my daughter|True
7603A|I felt ... when my son was born.|WRITER|joy|my son was born|True
7603B|I felt ... when my son was born.|WRITER|joy|my son was born|True
7603C|I felt ... when my son was born.|WRITER|joy|my son was born.|True
7603D|I felt ... when my son was born.|WRITER|joy|my son was born|True
7632A|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|my daughter|joy|my daughter scored in the highest percentile on a test|True
7632A|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|WRITER|joy|my daughter scored in the highest percentile on a test|True
7632B|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|WRITER|joy|my daughter scored in the highest percentile on a test|True
7632C|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|my daughter|joy|my daughter scored in the highest percentile on a test|True
7632C|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|WRITER|joy|my daughter scored in the highest percentile on a test|True
7632D|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|WRITER|joy|my daughter scored in the highest percentile on a test|True
7632D|I felt ... because my daughter scored in the highest percentile on a test designed to see how well she may do in her exams to decide her high school.|my daughter|joy|my daughter scored in the highest percentile on a test|True
7556A|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|all the people who matter to us|joy|my partner and I got married|True
7556A|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|my partner and I|joy|my partner and I got married|True
7556B|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|my partner and I|joy|my partner and I got married|True
7556C|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|my partner and I|joy|my partner and I got married.|True
7556D|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|the people who matter to us|joy|my partner and I got married|True
7556D|I felt ... when my partner and I got married. It was on a beautiful day in the botanic gardens surrounded by all the people who matter to us.|my partner and I|joy|my partner and I got married|True
8294A|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|someone else|surprise|my partner had been cheating on me|True
8294A|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|WRITER|surprise|my partner had been cheating on me|True
8294B|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|I|anger|I found out that my partner had been cheating on me|True
8294B|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|someone|anger|I found out that my partner had been cheating on me|True
8294C|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|someone else|anger|I found out that my partner had been cheating on me,|True
8294C|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|WRITER|anger|I found out that my partner had been cheating on me,|True
8294D|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|WRITER|anger|I found out that my partner had been cheating on me|True
8294D|I felt...when I found out that my partner had been cheating on me, and even had children with someone else. She also didn’t know that I existed which only exasperated the situation and made me feel even more …|someone|anger|She also didn’t know that I existed|True
8435A|I felt ... when I had a car accident and put two teenagers boys in hospital.|two teenagers boys|sadness|I had a car accident and put two teenagers boys in hospital|True
8435B|I felt ... when I had a car accident and put two teenagers boys in hospital.|two teenagers boys|fear|I had a car accident and put two teenagers boys in hospital|True
8435C|I felt ... when I had a car accident and put two teenagers boys in hospital.|WRITER|sadness|I had a car accident and put two teenagers boys in hospital.|True
8435C|I felt ... when I had a car accident and put two teenagers boys in hospital.|two teenagers boys|anger|I had a car accident and put two teenagers boys in hospital.|True
8435D|I felt ... when I had a car accident and put two teenagers boys in hospital.|two teenagers boys|fear|I had a car accident and put two teenagers boys in hospital|True
7657A|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|WRITER|sadness|people made fun of me for eating because I was overweight|True
7657B|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|people|joy|I was eating at school for the first time in years, when I actually had money, and people made fun of me|True
7657B|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|WRITER|sadness|I was eating at school for the first time in years, when I actually had money, and people made fun of me|True
7657C|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|people|disgust|people made fun of me|True
7657C|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|WRITER|sadness|people made fun of me|True
7657D|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|people|joy|people made fun of me for eating because I was overweight|True
7657D|I felt ... when I was eating at school for the first time in years, when I actually had money, and people made fun of me for eating because I was overweight. It made me feel worthless and like I shouldn’t have been eating anything at all.|WRITER|sadness|people made fun of me for eating because I was overweight|True
7753A|I felt ... when the Twin Towers in New York were destroyed in a terrorist attack.|WRITER|sadness|the Twin Towers in New York were destroyed in a terrorist attack|True
7753B|I felt ... when the Twin Towers in New York were destroyed in a terrorist attack.|WRITER|anger|the Twin Towers in New York were destroyed in a terrorist attack|True
7753C|I felt ... when the Twin Towers in New York were destroyed in a terrorist attack.|WRITER|sadness|the Twin Towers in New York were destroyed|True
7753D|I felt ... when the Twin Towers in New York were destroyed in a terrorist attack.|WRITER|fear|the Twin Towers in New York were destroyed in a terrorist attack|True
8170B|I felt...when I told friends I was not well to avoid meeting them.|friends|sadness|I told friends I was not well to avoid meeting them|True
8170C|I felt...when I told friends I was not well to avoid meeting them.|friends|sadness|I told friends I was not well|True
7645A|I felt ... when I opened my A-Level results and achieved good enough grades to get to my first choice university.|WRITER|joy|I opened my A-Level results and achieved good enough grades to get to my first choice university|True
7645B|I felt ... when I opened my A-Level results and achieved good enough grades to get to my first choice university.|WRITER|joy|I opened my A-Level results and achieved good enough grades to get to my first choice university|True
7645C|I felt ... when I opened my A-Level results and achieved good enough grades to get to my first choice university.|WRITER|joy|I opened my A-Level results|True
7645D|I felt ... when I opened my A-Level results and achieved good enough grades to get to my first choice university.|WRITER|joy|I opened my A-Level results and achieved good enough grades to get to my first choice university|True
33978A|John reads aloud to Mary|John|joy|John reads aloud to Mary|True
33978B|John reads aloud to Mary|John|joy|John reads aloud to Mary|True
33978B|John reads aloud to Mary|Mary|joy|John reads aloud to Mary|True
33978C|John reads aloud to Mary|John|joy|John reads aloud to Mary|True
33978C|John reads aloud to Mary|Mary|joy|John reads aloud to Mary|True
7919A|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|my son|joy|my first grandchild was born|True
7919A|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|WRITER|joy|my first grandchild was born|True
7919B|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|my son|joy|when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital|True
7919B|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|WRITER|joy|when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital|True
7919C|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|my son|joy|my first grandchild was born|True
7919C|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|WRITER|joy|my first grandchild was born|True
7919D|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|my son|joy|my first grandchild was born|True
7919D|I felt ... when my first grandchild was born and my son rang me straight away and wanted me to go into the hospital to see the baby.|WRITER|joy|my first grandchild was born|True
7912A|I felt ... because I was not able to answer a very simple question in the exam. Even the least intelligent person in the class got it.|the least intelligent person in the class|joy|the least intelligent person in the class got it|True
8391A|I felt...when a stranger threatened my children.|WRITER|fear|a stranger threatened my children|True
8391A|I felt...when a stranger threatened my children.|my children|fear|a stranger threatened my children|True
8391A|I felt...when a stranger threatened my children.|a stranger|joy|a stranger threatened my children|True
8391B|I felt...when a stranger threatened my children.|WRITER|anger|a stranger threatened my children|True
8391B|I felt...when a stranger threatened my children.|my children|fear|a stranger threatened my children|True
8391C|I felt...when a stranger threatened my children.|my children|fear|a stranger threatened my children.|True
8391C|I felt...when a stranger threatened my children.|a stranger|anger|a stranger threatened my children.|True
8391C|I felt...when a stranger threatened my children.|WRITER|anger|a stranger threatened my children.|True
8391D|I felt...when a stranger threatened my children.|a stranger|anger|a stranger threatened my children|True
8391D|I felt...when a stranger threatened my children.|WRITER|anger|a stranger threatened my children|True
8391D|I felt...when a stranger threatened my children.|my children|fear|a stranger threatened my children|True
5711A|Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.|WRITER|joy|I've been spending most of my free time with my boyfriend. I hardly see my old high school friends|True
5711A|Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.|my boyfriend|joy|I've been spending most of my free time with my boyfriend. I hardly see my old high school friends|True
5711A|Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.|my old high school friends|sadness|I've been spending most of my free time with my boyfriend. I hardly see my old high school friends|True
5711C|Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.|my boyfriend|joy|I've been spending most of my free time with my boyfriend|True
5711D|Since I moved into the dorms and I've been spending most of my free time with my boyfriend. I hardly see my old high school friends. I had several bad incidents with my 2 past best friends.|my old high school friends|sadness|I hardly see my old high school friends|True
7798A|I felt ... because I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge. There was a moment when you didn't know which way it was going to go.|WRITER|fear|I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge|True
7798B|I felt ... because I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge. There was a moment when you didn't know which way it was going to go.|WRITER|fear|I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge|True
7798C|I felt ... because I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge. There was a moment when you didn't know which way it was going to go.|WRITER|fear|I was knocked off my bike by a car,|True
7798D|I felt ... because I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge. There was a moment when you didn't know which way it was going to go.|WRITER|fear|I was knocked off my bike by a car, and trapped between my bike and the car, on the edge of a steep verge|True
8031A|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|all my family|joy|I was given a very special spinning wheel as a surprise on my birthday from all my family|True
8031A|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|WRITER|joy|I was given a very special spinning wheel as a surprise on my birthday from all my family|True
8031B|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|I|joy|I was given a very special spinning wheel as a surprise|True
8031C|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|all my family|joy|I was given a very special spinning wheel as a surprise on my birthday|True
8031C|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|WRITER|joy|I was given a very special spinning wheel as a surprise on my birthday|True
8031D|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|WRITER|joy|I was given a very special spinning wheel as a surprise on my birthday from all my family|True
8031D|I felt ... when I was given a very special spinning wheel as a surprise on my birthday from all my family.|my family|joy|I was given a very special spinning wheel as a surprise on my birthday from all my family|True
7669A|I felt ... when I watched some of the sad cases of children in need.|WRITER|sadness|I watched some of the sad cases of children in need|True
7669B|I felt ... when I watched some of the sad cases of children in need.|WRITER|sadness|I watched some of the sad cases of children in need|True
7669C|I felt ... when I watched some of the sad cases of children in need.|WRITER|sadness|I watched some of the sad cases of children in need.|True
